"draw_date","method","suggested_last2","actual_last2","hit_last2","suggested_3digit","actual_3digit","hit_3digit","rank_hit"
"2021-03-01","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,18,23,26,27,32","90","0","726,983,046,132,321,375,403,464,476,596,623,787,840,947,005,006,038,057,062,117","051,538,732,838","0",""
"2021-03-16","frequency_score_v1","64,66,94,10,11,24,31,43,73,03,04,06,08,15,16,18,23,26,27,32","36","0","726,983,046,132,321,375,403,464,476,596,623,787,840,947,005,006,038,051,057,062","190,256,422,902","0",""
"2021-04-01","frequency_score_v1","64,66,94,10,11,24,31,36,43,73,03,04,06,08,15,16,18,23,26,27","83","0","726,983,046,132,321,375,403,464,476,596,623,787,840,947,005,006,038,051,057,062","052,270,393,755","0",""
"2021-04-16","frequency_score_v1","64,66,94,10,11,24,31,36,43,73,03,04,06,08,15,16,18,23,26,27","13","0","726,983,046,132,321,375,403,464,476,596,623,787,840,947,005,006,038,051,052,057","143,264,560,787","1","12"
"2021-05-02","frequency_score_v1","64,66,94,10,11,24,31,36,43,73,03,04,06,08,13,15,16,18,23,26","18","1","726,787,983,046,132,321,375,403,464,476,596,623,840,947,005,006,038,051,052,057","129,180,272,306","0","18"
"2021-05-16","frequency_score_v1","64,66,94,10,11,18,24,31,36,43,73,03,04,06,08,13,15,16,23,26","15","1","726,787,983,046,132,321,375,403,464,476,596,623,840,947,005,006,038,051,052,057","146,276,579,843","0","17"
"2021-06-01","frequency_score_v1","64,66,94,10,11,15,18,24,31,36,43,73,03,04,06,08,13,16,23,26","93","0","726,787,983,046,132,321,375,403,464,476,596,623,840,947,005,006,038,051,052,057","451,620,723,972","0",""
"2021-06-16","frequency_score_v1","64,66,94,10,11,15,18,24,31,36,43,73,93,03,04,06,08,13,16,23","07","0","726,787,983,046,132,321,375,403,464,476,596,623,840,947,005,006,038,051,052,057","054,170,447,861","0",""
"2021-07-01","frequency_score_v1","64,66,94,10,11,15,18,24,31,36,43,73,93,03,04,06,07,08,13,16","73","1","726,787,983,046,132,321,375,403,464,476,596,623,840,861,947,005,006,038,051,052","290,414,517,794","0","12"
"2021-07-16","frequency_score_v1","64,66,73,94,10,11,15,18,24,31,36,43,93,03,04,06,07,08,13,16","58","0","726,787,983,046,132,321,375,403,464,476,596,623,840,861,947,005,006,038,051,052","174,233,700,725","0",""
"2021-08-01","frequency_score_v1","64,66,73,94,10,11,15,18,24,31,36,43,93,03,04,06,07,08,13,16","03","1","726,787,983,046,132,321,375,403,464,476,596,623,840,861,947,005,006,038,051,052","004,261,307,691","0","14"
